Number of points: 232050
SW:(40.700000 , -74.000000)
Partition  498000000 : [   0,     1]
Partition  508000000 : [   0,     1]
Partition  138000000 : [   0,     1]
Partition  506000000 : [   0,     0]
Partition  378000000 : [   0,     2]
Partition  707000000 : [   0,     0]
Partition  558000000 : [   0,     1]
Partition  568000000 : [   0,     1]
Partition  388000000 : [   0,     4]
Partition  588000000 : [   0,     0]
Partition  408000000 : [   0,     5]
Partition  608000000 : [   0,     0]
Partition  618000000 : [   0,     0]
Partition  628000000 : [   0,     0]
Partition  638000000 : [   0,     1]
Partition  648000000 : [   0,     1]
Partition  658000000 : [   0,     0]
Partition  668000000 : [   0,     0]
Partition  488000000 : [   0,     0]
Partition  688000000 : [   0,     0]
Partition  438000000 : [   1,    17]
Partition  528000000 : [   0,     4]
Partition  718000000 : [   0,     0]
Partition  728000000 : [   0,     0]
Partition  738000000 : [   0,     0]
Partition  748000000 : [   0,     0]
Partition  538000000 : [   0,     1]
Partition  338000000 : [   0,     0]
Partition  598000000 : [   0,     0]
Partition   39000000 : [   0,    10]
Partition   48000000 : [   0,     2]
Partition   59000000 : [   0,     1]
Partition  475000000 : [   0,     0]
Partition   29000000 : [   2,    25]
Partition  698000000 : [   0,     0]
Partition   99000000 : [   0,     2]
Partition   79000000 : [   1,    18]
Partition  119000000 : [   0,     0]
Partition  129000000 : [   0,     0]
Partition  328000000 : [   0,     0]
Partition  149000000 : [   0,     0]
Partition  159000000 : [   0,     1]
Partition  169000000 : [   0,     0]
Partition  179000000 : [   0,     0]
Partition  189000000 : [   0,     1]
Partition  199000000 : [   0,     0]
Partition  238000000 : [   0,     0]
Partition  219000000 : [   0,     1]
Partition  209000000 : [   0,     0]
Partition  239000000 : [   1,     9]
Partition  458000000 : [   0,     2]
Partition  259000000 : [   0,     0]
Partition  269000000 : [   0,     2]
Partition  279000000 : [   0,     2]
Partition  289000000 : [   0,     0]
Partition  299000000 : [   0,     0]
Partition  309000000 : [   0,     0]
Partition  139000000 : [   0,     0]
Partition  708000000 : [   0,     0]
Partition  109000000 : [   0,     1]
Partition   69000000 : [   0,     3]
Partition  548000000 : [   0,     3]
Partition    9000000 : [   1,    13]
Partition  697000000 : [   0,     0]
Partition  578000000 : [   0,     1]
Partition   49000000 : [   0,     5]
Partition  228000000 : [   0,     1]
Partition  487000000 : [   0,     0]
Partition  249000000 : [   0,     5]
Partition   19000000 : [   2,    27]
Partition  229000000 : [   0,     2]
Partition  517000000 : [   0,     1]
Partition  468000000 : [   0,     0]
Partition  339000000 : [   0,     0]
Partition  359000000 : [   0,     1]
Partition  459000000 : [   0,     1]
Partition  469000000 : [   0,     1]
Partition  449000000 : [   1,     9]
Partition  519000000 : [   0,     1]
Partition  319000000 : [   0,     0]
Partition  389000000 : [   0,     1]
Partition  559000000 : [   0,     0]
Partition  569000000 : [   0,     0]
Partition  579000000 : [   0,     0]
Partition  589000000 : [   0,     0]
Partition  599000000 : [   0,     0]
Partition  609000000 : [   0,     0]
